file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0161_0681249747_725rrs__0060000srlc10203b308zpzj06.csv,4,2,100,0.04,0.02,0.06
ss__0161_0681249764_700rrs__0060000srlc10203b308zpzj06.csv,0,0,1,0,0,0
ss__0161_0681250204_135rrs__0060000srlc11420w108cgnj01.csv,56,9,1296,0.043209877,0.006944444,0.050154321
ss__0161_0681250986_440rrs__0060000srlc11420b108zpzj06.csv,58,11,1296,0.044753086,0.008487654,0.053240741
ss__0161_0681251238_450rrs__0060000srlc11420b108zpzj06.csv,1,0,2,0.5,0,0.5
ss__0161_0681251485_550rrs__0060000srlc16000w1__cgnj06.csv,0,0,1,0,0,0
ss__0162_0681350015_835rrs__0060000srlc10500w108cgnj06.csv,1,0,100,0.01,0,0.01
ss__0162_0681350667_170rrs__0060000srlc10500b108zpzj08.csv,1,0,100,0.01,0,0.01
ss__0162_0681350684_385rrs__0060000srlc10500b108zpzj06.csv,0,0,1,0,0,0
ss__0162_0681350741_765rrs__0060000srlc10500w208cgnj06.csv,4,1,100,0.04,0.01,0.05
ss__0162_0681351393_150rrs__0060000srlc10500b208zpzj06.csv,4,1,100,0.04,0.01,0.05
ss__0162_0681351410_175rrs__0060000srlc10500b208zpzj06.csv,0,0,1,0,0,0
ss__0162_0681351890_635rrs__0060000srlc11420w108cgnj01.csv,56,9,1296,0.043209877,0.006944444,0.050154321
ss__0162_0681352675_975rrs__0060000srlc11420b108zpzj06.csv,57,10,1296,0.043981481,0.007716049,0.051697531
ss__0162_0681352941_630rrs__0060000srlc11420b108zpzj06.csv,0,0,2,0,0,0
ss__0162_0681353193_915rrs__0060000srlc16000w1__cgnj06.csv,0,0,1,0,0,0
ss__0181_0683033294_345rrs__0070000srlc15050wv08cgnj03.csv,5,0,100,0.05,0,0.05
ss__0181_0683033437_830rrs__0070000srlc15050bv08zpzj03.csv,0,0,1,0,0,0
ss__0181_0683033825_415rrs__0070000srlc15042w108cgnj07.csv,438,15,1296,0.337962963,0.011574074,0.349537037
ss__0181_0683035691_770rrs__0070000srlc15042b108zpzj03.csv,2,0,2,1,0,1
ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,17,2,100,0.17,0.02,0.19
ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.csv,0,0,1,0,0,0
ss__0181_0683037017_955rrs__0070000srlc15030wt08cgnj06.csv,64,16,1296,0.049382716,0.012345679,0.061728395
ss__0181_0683038102_720rrs__0070000srlc15030bt08zpzj03.csv,1,0,2,0.5,0,0.5
ss__0181_0683038388_300rrs__0070000srlc15020ws08cgnj03.csv,0,0,100,0,0,0
ss__0181_0683038569_420rrs__0070000srlc15020bs08zpzj03.csv,0,0,1,0,0,0
ss__0181_0683038836_615rrs__0070000srlc15010wr08cgnj03.csv,0,0,100,0,0,0
ss__0181_0683038923_815rrs__0070000srlc15010br08zpzj03.csv,0,0,1,0,0,0
ss__0181_0683039191_995rrs__0070000srlc15000wq08cgnj03.csv,46,46,100,0.46,0.46,0.92
ss__0181_0683039354_545rrs__0070000srlc15000bq08zpzj03.csv,0,0,1,0,0,0
